Kilo-Sec_B,rel_flux_T1_d(mag),rel_flux_err_T1_d(mag)
0,0.001454,0.001814
0.175046,0.004169,0.001836
0.192499,-0.010012,0.001844
0.209952,-0.00375,0.001853
0.227578,-0.002992,0.001842
0.24503,-0.013527,0.001829
0.262483,-0.019376,0.001837
0.279936,-0.005011,0.001829
0.297562,0.000342,0.001827
0.315014,0.002539,0.001839
0.332467,-0.006409,0.001811
0.350006,-0.005579,0.001817
0.367546,-0.006051,0.001829
0.384998,-0.017086,0.001835
0.402538,-0.012672,0.001827
0.41999,0.007374,0.00182
0.437443,0.001443,0.001825
0.454896,-0.002887,0.001837
0.472349,-0.006808,0.001816
0.489888,0.002224,0.00182
0.507427,0.007689,0.001806
0.525053,0.001911,0.001779
0.542506,0.006125,0.001806
0.560218,-0.005469,0.001799
0.57767,-0.002045,0.0018
0.59521,0.003992,0.001807
0.612922,0.008769,0.001801
0.630374,0.007488,0.001797
0.648,0.00629,0.001797
0.665626,0.010807,0.001814
0.683165,0.007994,0.001806
0.700618,0.014158,0.001821
0.71807,0.013751,0.00182
0.73561,0.007736,0.001804
0.753149,-0.000356,0.00178
0.770602,-0.005745,0.00181
0.788054,-0.007284,0.001807
0.805507,0.004514,0.001791
0.823046,-0.000565,0.001809
0.840499,0.012407,0.001788
0.857952,0.007029,0.001782
0.875578,0.008269,0.001802
0.89303,0.005697,0.001802
0.910483,-0.000222,0.001817
0.927936,0.0062,0.001813
0.945475,-0.000892,0.0018
0.962928,0.001781,0.001829
0.980381,0.003034,0.0018
0.997834,0.003501,0.001813
1.015459,-0.013394,0.001788
1.032998,-0.009346,0.001775
1.050451,-0.005705,0.001779
1.067904,-0.011891,0.001785
1.085443,-0.006129,0.001771
1.10281,-0.002351,0.00179
1.120349,-0.006098,0.001804
1.137802,0.001581,0.001792
1.155427,0.004743,0.001782
1.17288,0.0071,0.001774
1.190506,0.007343,0.001786
1.208045,-0.008955,0.001799
1.225498,-0.0107,0.001771
1.24295,-0.008482,0.001799
1.26049,-0.013311,0.001772
1.278029,-0.012141,0.001769
1.295482,-0.011047,0.001787
1.313021,-0.013123,0.001747
1.330474,-0.013328,0.001779
1.348013,-0.012206,0.001773
1.365638,-0.008294,0.001781
1.383091,-0.007057,0.001739
1.400544,-0.012956,0.001766
1.418083,-0.005709,0.001785
1.435536,-0.01728,0.001745
1.453075,-0.012549,0.001759
1.470701,-0.018105,0.001788
1.48824,-0.011665,0.001777
1.505693,-0.012466,0.001802
1.523232,-0.018314,0.001776
1.540685,-0.023093,0.001797
1.558051,-0.014468,0.001775
1.575504,-0.019365,0.001778
1.592957,-0.021741,0.001774
1.61041,-0.007894,0.001761
1.627862,-0.015822,0.001774
1.645315,-0.011059,0.001768
1.662854,-0.018208,0.001763
1.680307,-0.012946,0.001756
1.697846,-0.010427,0.001735
1.715386,-0.011367,0.001734
1.732838,-0.01596,0.001728
1.750291,-0.012786,0.001716
1.76783,-0.014772,0.001724
1.78537,-0.01158,0.001718
1.802822,-0.00702,0.00172
1.820362,-0.009772,0.001723
1.837814,-0.004719,0.001722
1.855181,-0.012753,0.001711
1.872634,-0.009554,0.001711
1.890086,-0.005448,0.001705
1.907539,-0.015773,0.001702
1.924992,-0.009391,0.001698
1.942531,-0.006622,0.001702
1.959984,-0.002229,0.001707
1.977696,-0.008974,0.001706
1.995149,-0.006596,0.001702
2.012602,-0.02151,0.00171
2.030054,-0.019634,0.001705
2.04768,-0.022649,0.001713
2.065133,-0.017652,0.001706
2.082586,-0.018143,0.001714
2.100125,-0.018089,0.001709
2.117664,-0.017888,0.001702
2.135117,-0.011157,0.001713
2.15257,-0.022928,0.001708
2.170109,-0.019974,0.001711
2.187562,-0.020376,0.001696
2.205014,-0.024905,0.001701
2.222467,-0.021967,0.001696
2.23992,-0.027211,0.001698
2.257546,-0.019613,0.001706
2.274998,-0.020223,0.001705
2.292451,-0.017233,0.001701
2.310077,-0.029734,0.001709
2.32753,-0.023843,0.001697
2.344982,-0.021254,0.001699
2.362522,-0.024417,0.001684
2.380061,-0.020352,0.001683
2.397427,-0.022868,0.001688
2.41488,-0.024855,0.001713
2.432506,-0.014874,0.001712
2.449958,-0.02364,0.001707
2.467498,-0.021864,0.001705
2.485037,-0.010084,0.001693
2.50249,-0.0097,0.001706
2.519942,-0.012454,0.001696
2.537395,-0.00898,0.001673
2.554848,-0.002787,0.001695
2.572387,-0.008971,0.001678
2.58984,-0.001788,0.001685
2.607379,-0.003798,0.001691
2.624918,0.000055,0.001712
2.642458,0.006462,0.00168
2.65991,-0.011163,0.001704
2.677363,-0.00338,0.001651
2.694902,-0.003962,0.001707
2.712355,-0.004549,0.001677
2.730067,0.002576,0.00164
2.747606,0.00542,0.001641
2.765146,-0.001579,0.001638
2.782598,0.012624,0.00164
2.800224,-0.001815,0.001625
2.81759,-0.002294,0.001626
2.83513,-0.001235,0.001644
2.852582,0.001669,0.001674
2.870122,0.011527,0.001636
2.887661,0.001536,0.001632
2.9052,-0.002025,0.001641
2.922739,-0.008564,0.001621
2.940106,-0.00377,0.001628
2.957645,-0.003118,0.001629
2.975098,-0.008253,0.001634
2.992723,-0.005888,0.001622
3.010176,-0.000824,0.001624
3.027715,0.003529,0.001632
3.045168,-0.004838,0.001611
3.062707,0.007187,0.001643
3.080074,0.010994,0.001625
3.097613,0.004901,0.001633
3.115066,0.009632,0.001666
3.132691,0.007783,0.001632
3.150144,0.01185,0.001639
3.167597,0.016232,0.001646
3.18505,0.004997,0.001636
3.202589,0.006993,0.001647
3.220128,0.0166,0.001648
3.237667,0.000683,0.001647
3.255293,0.005418,0.001639
3.272746,0.007127,0.001628
3.290371,0.00948,0.00162
3.308083,0.005591,0.001633
3.32545,0.002509,0.001614
3.342989,-0.000132,0.001606
3.360442,-0.000734,0.001613
3.377981,0.004755,0.001628
3.39552,0.008778,0.001637
3.412973,0.003172,0.001608
3.430426,0.00965,0.001635
3.447965,0.005384,0.001617
3.465418,0.000867,0.001611
3.48287,0.003596,0.001638
3.50041,0.002328,0.001613
3.517949,0.000486,0.001633
3.535402,0.004255,0.001635
3.552854,0.008533,0.001637
3.570307,0.000363,0.001624
3.587933,0.006029,0.001623
3.605299,0.001281,0.001626
3.622838,0.00927,0.001631
3.640291,0.004553,0.001623
3.657917,-0.000112,0.001616
3.67537,0.005666,0.001601
3.692822,-0.000536,0.001603
3.710275,0.003388,0.001615
3.727814,0.007108,0.001623
3.745354,0.006281,0.001654
3.762806,0.009226,0.001619
3.780346,0.005453,0.00162
3.797798,0.003629,0.001618
3.815251,0.005917,0.001608
3.832877,0.010037,0.001606
3.850502,0.006495,0.001618
3.867955,0.014085,0.001616
3.885494,0.005005,0.001609
3.902947,0.00721,0.001612
3.920486,0.007153,0.001612
3.938026,0.003781,0.001639
3.955478,0.011704,0.001618
3.972931,0.002011,0.00163
3.99047,-0.003524,0.001614
4.00801,-0.00431,0.001621
4.025462,-0.00381,0.001608
4.042915,-0.00695,0.001597
4.060454,-0.005541,0.001617
4.077907,-0.00118,0.001605
4.09536,-0.006094,0.001597
4.112813,0.00119,0.001606
4.130438,-0.010518,0.0016
4.147891,-0.003826,0.001592
4.165344,0.00144,0.001596
4.182797,-0.005883,0.001595
4.200422,0.002472,0.001588
4.217789,-0.003555,0.001593
4.235242,-0.00819,0.001594
4.252694,-0.009708,0.001594
4.27032,0.002292,0.001585
4.287773,-0.001653,0.001601
4.305226,-0.011982,0.001573
4.322678,-0.001338,0.00159
4.340304,-0.0059,0.001587
4.357757,-0.010855,0.00159
4.375296,-0.003897,0.001583
4.392835,0.002612,0.001593
4.410288,-0.007511,0.001584
4.427741,-0.006556,0.001591
4.445194,-0.007767,0.001593
4.462646,-0.004703,0.001585
4.480186,-0.004556,0.001586
4.497725,-0.008987,0.001595
4.515178,-0.004484,0.001593
4.532717,0.000194,0.001595
4.55017,-0.004128,0.001598
4.567622,-0.00424,0.001582
4.585075,-0.007578,0.001582
4.602528,-0.003496,0.001596
4.620154,-0.001579,0.00159
4.637606,-0.009729,0.001595
4.655059,-0.00266,0.001592
4.672685,-0.012517,0.001592
4.690224,-0.01624,0.001586
4.707763,-0.001778,0.001591
4.725302,-0.006173,0.001598
4.742842,-0.00644,0.001585
4.760208,-0.000054,0.00158
4.777747,-0.001915,0.001584
4.7952,-0.004352,0.00158
4.812826,-0.004672,0.001575
4.830278,-0.004502,0.001588
4.847731,-0.005337,0.001581
4.865184,-0.003773,0.001579
4.88281,0.000227,0.001583
4.900262,0.002787,0.001599
4.917715,0.003025,0.00159
4.935254,-0.002153,0.001585
4.95288,-0.00919,0.001588
4.970246,-0.000978,0.001578
4.987699,-0.002011,0.001584
5.005152,-0.002834,0.001583
5.022691,0.003178,0.001592
5.040144,0.003398,0.001587
5.057683,-0.004605,0.001586
5.075136,0.000521,0.001588
5.092675,-0.00702,0.001587
5.110214,-0.002635,0.001588
5.127667,-0.004672,0.001585
5.145206,-0.001542,0.001587
5.162659,-0.00501,0.00158
5.180112,0.000799,0.001588
5.197738,-0.000152,0.001588
5.215363,-0.000417,0.001589
5.232989,0.001826,0.001592
5.250528,0.002834,0.001594
5.268067,0.003552,0.00159
5.28552,0.003421,0.00159
5.303059,0.001731,0.001588
5.320512,-0.000974,0.001589
5.338051,0.005488,0.001583
5.35559,0.004747,0.001588
5.373043,-0.001984,0.001584
5.390496,0.005711,0.001583
5.408035,-0.001739,0.001587
5.425488,0.000659,0.001583
5.442941,-0.006771,0.00157
5.460394,0.002216,0.001578
5.478019,0.010689,0.001571
5.495472,0.002118,0.001563
5.513098,0.003249,0.001584
5.530637,0.001005,0.001573
5.548262,-0.001806,0.001567
5.565802,0.00368,0.00157
5.583427,0.002682,0.001579
5.600966,0.003411,0.001567
5.618419,0.006661,0.001572
5.635872,0.004216,0.001562
5.653411,0.000079,0.001553
5.670864,0.002532,0.001566
5.688317,0.000195,0.001558
5.70577,0.002218,0.001559
5.723395,-0.000667,0.001561
5.740848,0.001489,0.001555
5.758301,-0.000046,0.001558
5.775754,0.000019,0.001558
5.793293,-0.00089,0.001573
5.810832,-0.003416,0.001571
5.828285,-0.004349,0.001575
5.845738,0.00141,0.001577
5.863277,-0.002788,0.001563
5.880816,-0.003996,0.001559
5.898355,-0.010137,0.001569
5.915808,-0.000562,0.001567
5.933261,-0.001683,0.00157
5.950627,-0.003884,0.001564
5.968166,-0.002078,0.001581
5.985706,0.001111,0.001573
6.003158,-0.003781,0.001569
6.020698,-0.006632,0.001564
6.038237,-0.004949,0.001559
6.055862,0.001681,0.001562
6.073315,0.001934,0.001565
6.090854,-0.00432,0.001564
6.108307,-0.008623,0.001563
6.125846,-0.005575,0.001567
6.143472,-0.008153,0.00157
6.160925,-0.007049,0.001572
6.178378,-0.002527,0.001568
6.195917,-0.004211,0.001567
6.21337,-0.002633,0.001569
6.230822,-0.00597,0.001565
6.248275,-0.002676,0.001567
6.265814,-0.012389,0.001561
6.283354,-0.008047,0.001562
6.300806,-0.005268,0.001572
6.318259,-0.00969,0.00156
6.335798,-0.004892,0.00157
6.353251,-0.00409,0.001565
6.370704,-0.008969,0.001565
6.388157,-0.005214,0.00157
6.405782,-0.004527,0.001566
6.423235,-0.007623,0.001561
6.440688,-0.004691,0.00156
6.458141,0.002563,0.001568
6.475766,-0.004172,0.001567
6.493219,-0.008264,0.001566
6.510672,-0.010264,0.001571
6.528125,-0.00287,0.001567
6.545664,-0.007442,0.001563
6.563117,-0.004446,0.001569
6.58057,-0.006563,0.001568
6.598022,-0.010449,0.001571
6.615648,-0.008249,0.001563
6.633101,-0.007768,0.001566
6.650554,-0.005143,0.001566
6.668006,-0.004741,0.001568
6.685632,-0.003661,0.00157
6.703085,-0.003744,0.00157
6.72071,-0.008248,0.001566
6.738336,-0.007433,0.001569
6.755875,-0.00496,0.001563
6.773328,0.000519,0.001566
6.790781,-0.00378,0.001569
6.80832,-0.00259,0.001562
6.825686,-0.004172,0.001563
6.843226,-0.001077,0.001572
6.860678,-0.003915,0.001573
6.878218,-0.002929,0.001569
6.89567,-0.001404,0.001575
6.913123,-0.003223,0.001565
6.930576,-0.004481,0.001573
6.948029,-0.001864,0.001567
6.965482,-0.005567,0.001568
6.982934,-0.00302,0.001566
7.000301,-0.003734,0.001565
7.01784,-0.00677,0.001562
7.035379,-0.004786,0.001567
7.052832,-0.002665,0.001562
7.070371,-0.002206,0.00157
7.08791,-0.007511,0.001567
7.105363,-0.000292,0.001567
7.122816,-0.002561,0.001569
7.140355,-0.001139,0.001566
7.157808,0.007379,0.001568
7.175347,0.003314,0.001574
7.1928,0.002382,0.001565
7.210253,0.002459,0.001565
7.227706,-0.001591,0.001569
7.245331,-0.002077,0.001562
7.26287,-0.000295,0.001565
7.280323,0.004508,0.001567
7.297776,0.000958,0.001568
7.315315,0.003862,0.001571
7.332768,-0.001914,0.001573
7.350221,-0.001575,0.001559
7.36776,0.007721,0.001561
7.385299,-0.002708,0.001562
7.402752,0.007639,0.001566
7.420291,0.008987,0.001554
7.438003,0.002832,0.00155
7.455456,0.004058,0.001548
7.472909,0.003418,0.001559
7.490448,0.006238,0.001547
7.507987,0.006223,0.00154
7.52544,0.002531,0.001539
7.542893,-0.0004,0.001536
7.560432,0.000456,0.001545
7.577885,-0.003098,0.001535
7.595338,-0.003989,0.001532
7.612963,0.002246,0.001534
7.630416,0.000366,0.001533
7.647869,-0.002257,0.001536
7.665322,-0.004619,0.00154
7.682688,-0.007681,0.001533
7.700141,-0.004883,0.001545
7.71768,-0.004476,0.001535
7.735133,-0.004875,0.001539
7.752586,-0.004004,0.00153
7.770038,-0.003973,0.001548
7.787578,0.000241,0.001549
7.80503,-0.00569,0.001547
7.82257,-0.004033,0.00154
7.840195,-0.00378,0.001547
7.857734,-0.000044,0.001566
7.87536,0.000019,0.001533
7.892899,0.000506,0.001552
7.910525,-0.002203,0.001558
7.927978,-0.008187,0.00155
7.94543,-0.007622,0.001546
7.962883,-0.012126,0.00154
7.980509,-0.010982,0.001538
7.997962,-0.006952,0.001545
8.015414,-0.005362,0.001545
8.032954,-0.010882,0.001538
8.050406,-0.00519,0.001544
8.067859,-0.005168,0.001543
8.085312,-0.010307,0.001537
8.102765,-0.010318,0.00154
8.12039,-0.008218,0.001542
8.138016,-0.006688,0.001535
8.155469,-0.011155,0.001549
8.172922,-0.004388,0.001541
8.190374,-0.007515,0.001546
8.207827,-0.00543,0.001546
8.22528,-0.005744,0.001545
8.242906,-0.006884,0.001548
8.260358,-0.004822,0.001546
8.277811,-0.005304,0.001549
8.295437,-0.003285,0.001548
8.313062,-0.006493,0.001541
8.330602,-0.002909,0.001545
8.348054,-0.000804,0.001545
8.365507,-0.0036,0.001543
8.383133,-0.00442,0.001544
8.400672,-0.005352,0.001536
8.418211,-0.002981,0.001543
8.43575,-0.005371,0.001548
8.453203,-0.002871,0.001543
8.470829,-0.007414,0.001536
8.488282,-0.005729,0.001547
8.505821,-0.005568,0.001542
8.523274,-0.007506,0.001541
8.540726,-0.004028,0.001542
8.558179,-0.00567,0.001545
8.575632,-0.003922,0.001546
8.593171,-0.003681,0.001545
8.61071,0.001948,0.001544
8.628422,-0.003743,0.001538
8.645962,-0.003461,0.001542
8.663414,0.003058,0.001545
8.680867,-0.006033,0.001539
8.698406,0.001864,0.001542
8.715773,0.003934,0.00154
8.733226,-0.008253,0.001532
8.750678,-0.000909,0.001535
8.768131,0.001741,0.001531
8.785584,-0.000593,0.001531
8.803123,-0.00039,0.001532
8.820576,-0.001757,0.001537
8.838029,-0.001279,0.001548
8.855482,-0.005435,0.001544
8.873021,-0.000578,0.001534
8.89056,0.001623,0.001535
8.908013,-0.000674,0.001552
8.925466,-0.000823,0.001556
8.942918,-0.001046,0.001553
8.960371,-0.002239,0.001554
8.97791,-0.00287,0.001552
8.99545,-0.000786,0.001557
9.012989,-0.002326,0.00155
9.030442,-0.000802,0.00155
9.047894,-0.003064,0.001542
9.065434,0.000702,0.001556
9.082886,0.000195,0.001552
9.100339,-0.001882,0.001543
9.117792,-0.000126,0.001548
9.135331,-0.00151,0.001548
9.15287,0.004557,0.001554
9.170323,0.001396,0.001543
9.187776,-0.006019,0.001535
9.205402,0.001713,0.001546
9.222854,0.002959,0.001548
9.240307,-0.000985,0.001542
9.25776,0.003256,0.001549
9.275299,-0.001124,0.001547
9.292752,-0.001746,0.00154
9.310205,0.006725,0.001539
9.327658,-0.000477,0.001541
9.345283,0.00361,0.00154
9.362736,-0.002763,0.001539
9.380189,-0.003741,0.001537
9.397814,-0.002702,0.001534
9.415267,-0.004164,0.001536
9.432806,0.001287,0.001537
9.450346,-0.009331,0.001534
9.467798,-0.005529,0.001536
9.485251,-0.002346,0.001534
9.502704,0.000032,0.001529
9.520157,0.001573,0.001533
9.537955,-0.005933,0.001542
9.555494,-0.002816,0.00154
9.572947,-0.006086,0.001547
9.5904,-0.002386,0.001542
9.607853,-0.007285,0.001543
9.625306,-0.006672,0.001541
9.642845,-0.003404,0.001545
9.660384,-0.004567,0.001536
9.677837,-0.005719,0.001531
9.695462,-0.000656,0.00154
9.712915,-0.006482,0.001536
9.730368,-0.006227,0.001536
9.747821,-0.009672,0.001537
9.765274,-0.00578,0.001533
9.782813,-0.004895,0.001533
9.800525,-0.00796,0.001538
9.817978,-0.010646,0.001535
9.83543,-0.007397,0.00154
9.852883,-0.008425,0.001536
9.870509,-0.009901,0.001535
9.887875,-0.010784,0.001534
9.905328,-0.003458,0.001542
9.922781,-0.011461,0.001531
9.940234,-0.004616,0.00153
9.957773,-0.005006,0.001532
9.975226,-0.006462,0.001539
9.992678,-0.002537,0.001536
10.010131,-0.007509,0.001532
10.02767,-0.005827,0.001537
10.045123,-0.004697,0.001535
10.062576,-0.007662,0.001539
10.080029,-0.008124,0.001539
10.097654,-0.003694,0.001538
10.115107,-0.006551,0.001536
10.13256,-0.005231,0.001534
10.150013,-0.008525,0.001538
10.167638,-0.007799,0.001535
10.185091,-0.002341,0.001543
10.202544,-0.001188,0.001541
10.220083,-0.004808,0.001538
10.237622,-0.006698,0.001538
10.255075,-0.002555,0.001541
10.272528,-0.00345,0.00154
10.290067,-0.004118,0.001539
10.30752,-0.000008,0.001542
10.325059,-0.003097,0.001537
10.342598,-0.003709,0.001538
10.360051,-0.008003,0.001544
10.377677,-0.002063,0.001534
10.395216,-0.004481,0.001534
10.412669,-0.007563,0.001531
10.430208,-0.004023,0.001534
10.447747,-0.007466,0.001528
10.465286,-0.004049,0.001527
10.482739,-0.007677,0.001524
10.500278,-0.003558,0.00153
10.517731,-0.008377,0.001525
10.535184,-0.008118,0.00153
10.552637,-0.006696,0.001524
10.570176,-0.008195,0.001526
10.587629,-0.005106,0.001527
10.605082,-0.004617,0.001531
10.622534,-0.006912,0.001532
10.64016,-0.00271,0.001534
10.657526,-0.004269,0.001535
10.674979,-0.007363,0.001532
10.692432,-0.007925,0.00153
10.710144,-0.012025,0.001526
10.72751,-0.013983,0.00153
10.74505,-0.018379,0.00152
10.762502,-0.012483,0.001526
10.780042,-0.016399,0.001536
10.797494,-0.019696,0.001527
10.814947,-0.011479,0.001531
10.8324,-0.008582,0.001534
10.850026,-0.013505,0.001524
10.867565,-0.010155,0.001523
10.885018,-0.012933,0.001523
10.902557,-0.009783,0.001518
10.92001,-0.011862,0.001519
10.937462,-0.008815,0.00152
10.954915,-0.00753,0.001525
10.972454,-0.009268,0.001527
10.989907,-0.014422,0.001524
11.007446,-0.008599,0.001529
11.024813,-0.010546,0.001527
11.042352,-0.010199,0.001523
11.059891,-0.01131,0.001528
11.077344,-0.00787,0.001522
11.094797,-0.014892,0.001526
