voltage,counts-voltage,300,320,340,360,380,400,420,440,460,480,500,,current,counts-current,,Kcl,Actual-angle (2*alpha),Actual-angle (2*beta),angle1,counts per angle1,,angle2,counts per angle2
300,0,0,0,0,150,1378,1874,1470,970,406,118,37,,5,1241,,known d = .3145nm,28,25,12,1,,27,4
320,0,,,,166,1383,1885,1519,928,413,136,38,,10,1769,,12 â†’ 105 degrees,59,52,13,3,,27.167,6
340,0,,,,165,1391,1875,1550,964,410,122,40,,15,1822,,M = 3,95,82,14,5,,27.333,7
360,160.1,,,,160,1412,1883,1528,988,423,108,36,,20,1873,,1,,,15,3,,27.5,18
380,1391.3,,,,163,1368,1876,1582,936,453,143,45,,25,1939,,,,,16,3,,27.667,22
400,1876.1,,,,155,1402,1850,1524,930,427,117,34,,30,2011,,,,,17,2,,27.833,23
420,1522.3,,,,160,1439,1880,1509,957,444,148,51,,35,2069,,,,,18,2,,28,160
440,960.5,,,,152,1382,1872,1516,969,432,119,33,,40,2100,,,,,19,6,,,
460,427.7,,,,172,1347,1893,1513,978,441,130,33,,45,2093,,,,,20,2,,,
480,127.8,,,,158,1411,1873,1512,985,428,137,39,,50,2085,,,,,21,4,,,
500,38.6,,,,,,,,,,,,,55,2051,,,,,22,4,,,
,,,,,,,,,,,,,,60,2021,,,,,23,3,,,
,,,,,,,,,,,,,,65,2012,,,,,24,6,,,
,,,,,,,,,,,,,,70,1937,,,,,25,15,,,
,,,,,,,,,,,,,,75,1919,,,,,26,5,,,
,,,,,,,,,,,,,,80,1837,,,,,27,2,,,
,,,,,,,,,,,,,,85,1793,,,,,28,200,,,
,,,,,,,,,,,,,,90,1746,,,,,29,13,,,
,,,,,,,,,,,,,,95,1673,,,,,30,2,,,
,,,,,,,,,,,,,,100,1645,,,,,31,3,,,
,,,,,,,,,,,,,,,,,,,,32,3,,,
,,,,,,,,,,,,,,,,,,,,33,3,,,
,,,,,,,,,,,,,,,,,,,,34,2,,,
,,,,,,,,,,,,,,,,,,,,35,4,,,
,,,,,,,,,,,,,,,,,,,,36,3,,,
,,,,,,,,,,,,,,,,,,,,37,3,,,
,,,,,,,,,,,,,,,,,,,,38,3,,,
,,,,,,,,,,,,,,,,,,,,39,5,,,
,,,,,,,,,,,,,,,,,,,,40,3,,,
,,,,,,,,,,,,,,,,,,,,41,2,,,
,,,,,,,,,,,,,,,,,,,,42,5,,,
,,,,,,,,,,,,,,,,,,,,43,2,,,
,,,,,,,,,,,,,,,,,,,,44,5,,,
,,,,,,,,,,,,,,,,,,,,45,4,,,
,,,,,,,,,,,,,,,,,,,,46,4,,,
,,,,,,,,,,,,,,,,,,,,47,2,,,
,,,,,,,,,,,,,,,,,,,,48,4,,,
,,,,,,,,,,,,,,,,,,,,49,5,,,
,,,,,,,,,,,,,,,,,,,,50,1,,,
,,,,,,,,,,,,,,,,,,,,51,4,,,
,,,,,,,,,,,,,,,,,,,,52,12,,,
,,,,,,,,,,,,,,,,,,,,53,4,,,
,,,,,,,,,,,,,,,,,,,,54,4,,,
,,,,,,,,,,,,,,,,,,,,55,6,,,
,,,,,,,,,,,,,,,,,,,,56,3,,,
,,,,,,,,,,,,,,,,,,,,57,8,,,
,,,,,,,,,,,,,,,,,,,,58,9,,,
,,,,,,,,,,,,,,,,,,,,59,55,,,
,,,,,,,,,,,,,,,,,,,,60,5,,,
,,,,,,,,,,,,,,,,,,,,61,4,,,
,,,,,,,,,,,,,,,,,,,,62,3,,,
,,,,,,,,,,,,,,,,,,,,63,7,,,
,,,,,,,,,,,,,,,,,,,,64,5,,,
,,,,,,,,,,,,,,,,,,,,65,1,,,
,,,,,,,,,,,,,,,,,,,,66,2,,,
,,,,,,,,,,,,,,,,,,,,67,4,,,
,,,,,,,,,,,,,,,,,,,,68,3,,,
,,,,,,,,,,,,,,,,,,,,69,3,,,
,,,,,,,,,,,,,,,,,,,,70,4,,,
,,,,,,,,,,,,,,,,,,,,71,5,,,
,,,,,,,,,,,,,,,,,,,,72,6,,,
,,,,,,,,,,,,,,,,,,,,73,2,,,
,,,,,,,,,,,,,,,,,,,,74,3,,,
,,,,,,,,,,,,,,,,,,,,75,4,,,
,,,,,,,,,,,,,,,,,,,,76,4,,,
,,,,,,,,,,,,,,,,,,,,77,3,,,
,,,,,,,,,,,,,,,,,,,,78,5,,,
,,,,,,,,,,,,,,,,,,,,79,3,,,
,,,,,,,,,,,,,,,,,,,,80,2,,,
,,,,,,,,,,,,,,,,,,,,81,3,,,
,,,,,,,,,,,,,,,,,,,,82,5,,,
,,,,,,,,,,,,,,,,,,,,83,16,,,
,,,,,,,,,,,,,,,,,,,,84,3,,,
,,,,,,,,,,,,,,,,,,,,85,5,,,
,,,,,,,,,,,,,,,,,,,,86,6,,,
,,,,,,,,,,,,,,,,,,,,87,2,,,
,,,,,,,,,,,,,,,,,,,,88,4,,,
,,,,,,,,,,,,,,,,,,,,89,7,,,
,,,,,,,,,,,,,,,,,,,,90,1,,,
,,,,,,,,,,,,,,,,,,,,91,6,,,
,,,,,,,,,,,,,,,,,,,,92,6,,,
,,,,,,,,,,,,,,,,,,,,93,4,,,
,,,,,,,,,,,,,,,,,,,,94,14,,,
,,,,,,,,,,,,,,,,,,,,95,23,,,
,,,,,,,,,,,,,,,,,,,,96,3,,,
,,,,,,,,,,,,,,,,,,,,97,4,,,
,,,,,,,,,,,,,,,,,,,,98,6,,,
,,,,,,,,,,,,,,,,,,,,99,4,,,
,,,,,,,,,,,,,,,,,,,,100,4,,,
,,,,,,,,,,,,,,,,,,,,101,5,,,
,,,,,,,,,,,,,,,,,,,,102,4,,,
,,,,,,,,,,,,,,,,,,,,103,5,,,
,,,,,,,,,,,,,,,,,,,,104,6,,,
,,,,,,,,,,,,,,,,,,,,105,3,,,
